"location_long" "location_lat"
"1" -5.293484 50.209122
"2" -5.294076 50.212078
"3" -5.294076 50.212078
"4" -5.294458 50.209332
"5" -5.294458 50.209332
"6" -5.29424 50.209526
"7" -5.29311 50.209896
"8" -5.29311 50.209896
"9" -5.293453 50.210098
"10" -5.293965 50.209713
"11" -5.293965 50.209713
"12" -5.29425 50.209915
"13" -5.293782 50.209812
"14" -5.293846 50.209599
"15" -5.293598 50.209644
"16" -5.293598 50.209644
"17" -5.293323 50.209972
"18" -5.294185 50.209911
"19" -5.293795 50.209816
"20" -5.29354 50.209667
"21" -5.293632 50.209671
"22" -5.293831 50.209816
"23" -5.293794 50.209911
"24" -5.293787 50.209915
"25" -5.293797 50.209949
"26" -5.293803 50.209946
"27" -5.293422 50.209797
"28" -5.293556 50.209869
"29" -5.293438 50.209381
"30" -5.293848 50.210041
"31" -5.29346 50.209862
"32" -5.293585 50.210003
"33" -5.293504 50.209843
"34" -5.29351 50.2099
"35" -5.293404 50.209511
"36" -5.293272 50.207588
"37" -5.293397 50.209892
"38" -5.293334 50.210129
"39" -5.293604 50.210373
"40" -5.293498 50.209969
"41" -5.293539 50.209801
"42" -5.293962 50.210575
"43" -5.293962 50.210575
"44" -5.293623 50.209797
"45" -5.29371 50.20969
"46" -5.29371 50.20969
"47" -5.295241 50.212208
"48" -5.294765 50.211422
"49" -5.294765 50.211422
"50" -5.293506 50.209743
"51" -5.293542 50.209759
"52" -5.293759 50.209888
"53" -5.293687 50.20993
"54" -5.29368 50.209885
"55" -5.293855 50.209648
"56" -5.293691 50.209717
"57" -5.29302 50.209721
"58" -5.293625 50.209927
"59" -5.293628 50.209778
"60" -5.293061 50.209866
"61" -5.293698 50.20977
"62" -5.293489 50.209805
"63" -5.293837 50.209747
"64" -5.293615 50.209812
"65" -5.293739 50.209805
"66" -5.293992 50.209766
"67" -5.293636 50.209763
"68" -5.293603 50.209702
"69" -5.29366 50.209679
"70" -5.29362 50.209709
"71" -5.293639 50.209709
"72" -5.29376 50.209766
"73" -5.293513 50.209652
"74" -5.292574 50.208633
"75" -5.293659 50.209732
"76" -5.293751 50.209743
"77" -5.293596 50.209785
"78" -5.293861 50.209667
"79" -5.293808 50.209797
"80" -5.293463 50.209824
"81" -5.29353 50.210812
"82" -5.293882 50.209869
"83" -5.293741 50.209801
"84" -5.293737 50.209824
"85" -5.293782 50.209705
"86" -5.29389 50.209835
"87" -5.293596 50.209648
"88" -5.293585 50.209831
"89" -5.293236 50.213646
"90" -5.293664 50.209827
"91" -5.293738 50.209827
"92" -5.293733 50.209801
"93" -5.29382 50.209835
"94" -5.293809 50.209835
"95" -5.293663 50.209717
"96" -5.293791 50.209648
"97" -5.29365 50.210018
"98" -5.294061 50.209209
"99" -5.293773 50.209221
"100" -5.29395 50.210682
"101" -5.293585 50.209888
"102" -5.293603 50.209412
"103" -5.293527 50.209679
"104" -5.293582 50.209709
"105" -5.293558 50.20956
"106" -5.293661 50.209614
"107" -5.293573 50.20977
"108" -5.293701 50.209667
"109" -5.293556 50.20974
"110" -5.293602 50.209789
"111" -5.293577 50.209721
"112" -5.293687 50.209763
"113" -5.293389 50.209721
